"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerelrendezés","Hengerek száma","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Kategória","Ajtók száma","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Hasznos teher","Sebességváltó","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Gumiméret","Újkori ára","Csomagtér térfogata","CO2-kibocsátás","Vegyes fogyasztás","Városi fogyasztás","Országúti fogyasztás","Fordulási kör átmérõje","Környezetvédelmi osztály"
"94","MASERATI 4.1 (1968.)","https://katalogus.hasznaltauto.hu/maserati/4.1-71901","1968.","Lépcsõshátú","Benzin",NA,"8 henger",NA,"4 136 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","MASERATI 4.7 (1968.)","https://katalogus.hasznaltauto.hu/maserati/4.7-71902","1968.","Lépcsõshátú","Benzin",NA,"8 henger",NA,"4 719 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","MASERATI 3.7 (1968-1970)","https://katalogus.hasznaltauto.hu/maserati/3.7-78779","1968-1970","Lépcsõshátú","Benzin",NA,"6 henger",NA,"3 694 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","MASERATI 4.0 (1968-1970)","https://katalogus.hasznaltauto.hu/maserati/4.0-78780","1968-1970","Lépcsõshátú","Benzin",NA,"6 henger",NA,"4 014 cm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","MASERATI Quattroporte 24V (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_24v-15485","1995-1998","Sedan","Benzin","V","6 henger","Hátsó kerék","1 996 cm3","209 kW, 284 LE","Nagykocsi","4 ajtó","5 fõ","1 540 kg","1 945 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm",NA,"405 kg","Manuális (6 fokozatú) sebességváltó","260 km/h","5,9 s","362 Nm","205/55 ZR16 225/50 ZR16 ","18 690 000 Ft","435 l","244 g/km","10,4 l/100km","16,1 l/100km","8,5 l/100km",NA,NA
"99","MASERATI Quattroporte 24V (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_24v-15486","1995-1998","Sedan","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE","Nagykocsi","4 ajtó","5 fõ","1 543 kg","1 960 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm",NA,"417 kg","Manuális (6 fokozatú) sebességváltó","260 km/h","5,9 s","422 Nm","205/55 ZR16 225/50 ZR16 ","19 990 000 Ft","435 l","336 g/km","14,3 l/100km","20,3 l/100km","11,0 l/100km",NA,NA
"100","MASERATI Quattroporte 24V (Automata)  (1997-2001)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_24v_automata-15487","1997-2001","Sedan","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE","Nagykocsi","4 ajtó","5 fõ","1 571 kg","1 960 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm","100 l","389 kg","Automata (4 fokozatú) sebességváltó","255 km/h","5,9 s","397 Nm","205/55 ZR16 ",NA,"435 l",NA,NA,NA,NA,NA,NA
"101","MASERATI Quattroporte V6 Evoluzione (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v6_evoluzione-15488","1998-2002","Sedan","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE","Nagykocsi","4 ajtó","5 fõ","1 545 kg","1 960 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm","100 l","415 kg","Manuális (6 fokozatú) sebességváltó","260 km/h","5,9 s","397 Nm","225/45 ZR17 245/40 ZR17 ","23 590 000 Ft","435 l","254 g/km","10,8 l/100km","18,8 l/100km","9,3 l/100km",NA,NA
"102","MASERATI Quattroporte V6 Evoluzione (Automata)  (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v6_evoluzione_automata-15489","1998-2002","Sedan","Benzin","V","6 henger","Hátsó kerék","2 790 cm3","209 kW, 284 LE","Nagykocsi","4 ajtó","5 fõ","1 545 kg","1 960 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm","100 l","415 kg","Automata (4 fokozatú) sebességváltó","260 km/h","5,9 s","397 Nm","225/45 ZR17 245/40 ZR17 ","24 550 000 Ft","435 l","261 g/km","11,1 l/100km","20,3 l/100km","11,0 l/100km",NA,NA
"103","MASERATI Quattroporte V8 32V (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_32v-15490","1995-1998","Sedan","Benzin","V","8 henger","Hátsó kerék","3 217 cm3","247 kW, 336 LE","Nagykocsi","4 ajtó","5 fõ","1 647 kg","2 045 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm",NA,"398 kg","Manuális (6 fokozatú) sebességváltó","270 km/h","5,8 s","450 Nm","225/45 ZR17 245/40 ZR17 ","22 990 000 Ft","435 l","362 g/km","15,4 l/100km","25,0 l/100km","10,0 l/100km",NA,NA
"104","MASERATI Quattroporte V8 32V (Automata)  (1995-1998)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_32v_automata-15491","1995-1998","Sedan","Benzin","V","8 henger","Hátsó kerék","3 217 cm3","247 kW, 336 LE","Nagykocsi","4 ajtó","5 fõ","1 660 kg","2 045 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm",NA,"385 kg","Automata (4 fokozatú) sebességváltó","265 km/h","6,5 s","450 Nm","225/45 ZR17 245/40 ZR17 ","24 490 000 Ft","435 l","385 g/km","16,4 l/100km","26,0 l/100km","11,0 l/100km",NA,NA
